2023-08-05_17-07-28: DF Exception: Sub: R1004D, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-28: DF Exception: Sub: R1015J, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-28: DF Exception: Sub: R1024E, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1024E_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-28: DF Exception: Sub: R1032D, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-28: DF Exception: Sub: R1032D, Sess: 1, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1032D_1_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-28: DF Exception: Sub: R1035M, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-28: DF Exception: Sub: R1045E, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1045E_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-28: DF Exception: Sub: R1045E, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-28: DF Exception: Sub: R1061T, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1061T_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-29: DF Exception: Sub: R1065J, Sess: 0, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-29: DF Exception: Sub: R1065J, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-29: DF Exception: Sub: R1065J, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-29: DF Exception: Sub: R1065J, Sess: 3, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-29: DF Exception: Sub: R1066P, Sess: 0, FileNotFoundError, [Errno 2] No such file or directory: '/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1066P_0_HPC_encoding_soz_in_hamming.p', file: ripples_HFA_general.py, line no: 216
2023-08-05_17-07-29: DF Exception: Sub: R1066P, Sess: 1, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
2023-08-05_17-07-29: DF Exception: Sub: R1066P, Sess: 2, KeyError, 'HFA_array', file: ripples_HFA_general.py, line no: 249
