2023-06-30_16-29-46: DF Exception: Sub: R1001P, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-46: DF Exception: Sub: R1001P, Sess: 1, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-46: DF Exception: Sub: R1002P, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-46: DF Exception: Sub: R1002P, Sess: 1, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-46: DF Exception: Sub: R1006P, Sess: 1, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-46: DF Exception: Sub: R1010J, Sess: 1, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-46: DF Exception: Sub: R1018P, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-46: DF Exception: Sub: R1048E, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-46: DF Exception: Sub: R1049J, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-46: DF Exception: Sub: R1003P, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-46: DF Exception: Sub: R1003P, Sess: 1, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-46: DF Exception: Sub: R1010J, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-47: DF Exception: Sub: R1020J, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
2023-06-30_16-29-47: DF Exception: Sub: R1023J, Sess: 0, PermissionError, [Errno 13] Permission denied: '/home1/john/SWR/code/semantic_analysis/FR1_wordpool_feats.pk', file: <ipython-input-5-45d878dc8cdd>, line no: 138
