Filename,Reason for failure
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1013E_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1016M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1016M_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1021D_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1026D_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1028M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1028M_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1031M_0_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1036M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1039M_0_HPC_encoding_soz_in_hamming.p,Words are in spanish
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1041M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1042M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1060M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1056M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=int64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1050M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1069M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1074M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1075J_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1093J_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1094T_0_HPC_encoding_soz_in_hamming.p,Words are in spanish
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1086M_0_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1106M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=int64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1067P_1_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1107J_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1107J_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1111M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1111M_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1114C_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1119P_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1130M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1135E_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1135E_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1127P_0_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1141T_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1141T_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1141T_2_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1147P_0_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1157C_2_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1169P_0_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1170J_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1170J_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1178P_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1181E_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1181E_2_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1184M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=int64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1181E_3_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1186P_0_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1187P_0_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1189M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1190P_0_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1191J_1_HPC_encoding_soz_in_hamming.p,An exception occurred: Events must correspond to the session with which the reader was initialized: 1 (events correspond to 0)
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1192C_0_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1192C_1_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1192C_2_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1190P_1_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1202M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1202M_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1201P_0_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1212P_0_HPC_encoding_soz_in_hamming.p,An exception occurred: cannot reshape array of size 4999 into shape (2)
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1215M_0_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1221P_1_HPC_encoding_soz_in_hamming.p,An exception occurred: cannot reshape array of size 4999 into shape (2)
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1222M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1221P_2_HPC_encoding_soz_in_hamming.p,An exception occurred: cannot reshape array of size 4999 into shape (2)
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1221P_0_HPC_encoding_soz_in_hamming.p,An exception occurred: cannot reshape array of size 4999 into shape (2)
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1229M_0_HPC_encoding_soz_in_hamming.p,An exception occurred: Events must correspond to the session with which the reader was initialized: 0 (events correspond to 1)
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1231M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1235E_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1235E_2_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1228M_0_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1226D_0_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1226D_3_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1240T_0_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1243T_0_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1226D_4_HPC_encoding_soz_in_hamming.p,Program ran 0
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1247P_1_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1247P_2_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1251M_0_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1247P_3_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1254E_0_HPC_encoding_soz_in_hamming.p,An exception occurred: cannot reshape array of size 4999 into shape (2)
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1261P_1_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1266J_1_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1247P_5_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1260D_0_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1266J_5_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1266J_3_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1266J_2_HPC_encoding_soz_in_hamming.p,"An exception occurred: No appropriate channels found for the given picks (array([], dtype=float64))"
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1247P_4_HPC_encoding_soz_in_hamming.p,Ripple array is empty
/scratch/efeghhi/catFR1/ENCODING/SWR_catFR1_R1269E_3_HPC_encoding_soz_in_hamming.p,An exception occurred: Events must correspond to the session with which the reader was initialized: 3 (events correspond to 10)
