,clust,correct,position,subj,sess,hfa,ripple_exists
0,0.0,1.0,"[10, 3]",R1015J,R1015J-0,-0.3755892218589497,0.0
1,0.0,1.0,"[10, 3]",R1015J,R1015J-0,-1.620664767444957,0.0
2,0.0,1.0,[1],R1015J,R1015J-0,0.07355121599258345,0.0
3,0.0,1.0,"[1, 4, -999]",R1015J,R1015J-0,-0.6215225232773218,1.0
4,0.0,1.0,"[9, 11, 10]",R1015J,R1015J-0,0.26986073542639216,0.0
5,0.0,2.0,"[9, 11, 10]",R1015J,R1015J-0,3.33140661171255,1.0
6,0.0,1.0,"[8, 2, -999]",R1015J,R1015J-0,1.9165401270503248,0.0
7,0.0,1.0,[2],R1015J,R1015J-0,-1.5880501177693318,0.0
8,0.0,1.0,[1],R1015J,R1015J-0,1.647821718971558,1.0
9,0.0,2.0,"[6, 2, 1]",R1015J,R1015J-0,-0.20561709193851155,0.0
10,1.0,1.0,"[6, 2, 1]",R1015J,R1015J-0,1.0121034660592128,1.0
11,0.0,1.0,"[6, 2, 1]",R1015J,R1015J-0,1.0774804474977553,1.0
12,0.0,2.0,"[2, 1, 12, 7]",R1024E,R1024E-0,-2.3147949873133564,0.0
13,1.0,1.0,"[2, 1, 12, 7]",R1024E,R1024E-0,1.2049284348576061,0.0
14,0.0,1.0,"[2, 1, 12, 7]",R1024E,R1024E-0,-0.0065637069141890984,0.0
15,0.0,1.0,"[2, 1, 12, 7]",R1024E,R1024E-0,-1.523072966549358,0.0
16,1.0,1.0,"[1, 9, 11, 12, 8, 7]",R1024E,R1024E-0,0.19324725113580868,0.0
17,0.0,2.0,"[1, 9, 11, 12, 8, 7]",R1024E,R1024E-0,-2.2592375292403886,0.0
18,1.0,1.0,"[1, 9, 11, 12, 8, 7]",R1024E,R1024E-0,-1.5258804871916825,0.0
19,0.0,2.0,"[1, 9, 11, 12, 8, 7]",R1024E,R1024E-0,-0.25178117598684296,1.0
20,1.0,1.0,"[1, 9, 11, 12, 8, 7]",R1024E,R1024E-0,-0.7785543986494481,0.0
21,0.0,2.0,"[1, 9, 11, 12, 8, 7]",R1024E,R1024E-0,0.5198562352454434,0.0
22,1.0,1.0,"[3, 4, 11, 12, 6, 5]",R1024E,R1024E-0,0.86270520043345,0.0
23,1.0,2.0,"[3, 4, 11, 12, 6, 5]",R1024E,R1024E-0,0.07069525740196905,0.0
24,0.0,2.0,"[3, 4, 11, 12, 6, 5]",R1024E,R1024E-0,0.7886456578473581,1.0
25,1.0,1.0,"[3, 4, 11, 12, 6, 5]",R1024E,R1024E-0,-3.0061963982194735,0.0
26,1.0,2.0,"[3, 4, 11, 12, 6, 5]",R1024E,R1024E-0,-0.10659004954086265,0.0
27,0.0,2.0,"[3, 4, 11, 12, 6, 5]",R1024E,R1024E-0,1.9767394690833076,0.0
28,1.0,1.0,"[5, 11, 1, 2, 9]",R1024E,R1024E-0,2.3779382465896624,0.0
29,1.0,2.0,"[5, 11, 1, 2, 9]",R1024E,R1024E-0,-0.6979009005352458,0.0
30,1.0,1.0,"[5, 11, 1, 2, 9]",R1024E,R1024E-0,-0.6278098947286805,0.0
31,0.0,2.0,"[5, 11, 1, 2, 9]",R1024E,R1024E-0,0.01827299616138655,1.0
32,0.0,2.0,"[5, 11, 1, 2, 9]",R1024E,R1024E-0,-0.10575993186738558,0.0
